MeasurementMethod_CodeMeaning	MeasurementMethod_CodeValue	MeasurementMethod_CodingSchemeDesignator	Quantity_CodeMeaning	Quantity_CodeValue	Quantity_CodingSchemeDesignator	RealWorldValueIntercept	RealWorldValueSlope	SOPInstanceUID	Units_CodeMeaning	Units_CodeValue	Units_CodingSchemeDesignator
SUV body weight calculation method	126410	DCM	Standardized Uptake Value	126400	DCM	0.0	0.000375125	1.2.276.0.7230010.3.1.4.8323329.18215.1440001297.928457	Standardized Uptake Value body weight	{SUVbw}g/ml	UCUM
SUV body weight calculation method	126410	DCM	Standardized Uptake Value	126400	DCM	0.0	0.000296785	1.2.276.0.7230010.3.1.4.8323329.19044.1440001320.359237	Standardized Uptake Value body weight	{SUVbw}g/ml	UCUM
SUV body weight calculation method	126410	DCM	Standardized Uptake Value	126400	DCM	0.0	0.00029448	1.2.276.0.7230010.3.1.4.8323329.19845.1440001342.736084	Standardized Uptake Value body weight	{SUVbw}g/ml	UCUM
SUV body weight calculation method	126410	DCM	Standardized Uptake Value	126400	DCM	0.0	0.000321669	1.2.276.0.7230010.3.1.4.8323329.20954.1440001387.46342	Standardized Uptake Value body weight	{SUVbw}g/ml	UCUM
