AcquisitionMatrix	EchoNumbers	EchoTime	FlipAngle	ImagingFrequency	InPlanePhaseEncodingDirection	InversionTime	MagneticFieldStrength	NumberOfEchoes	PixelBandwidth	PixelSpacing	PulseSequenceName	RepetitionTime	SOPInstanceUID	ScanningSequence	SequenceVariant	SliceThickness	TriggerTime
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.237739643008765743642361872162	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.263163357692908523761341294603	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.295900904276024265654290073196	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.296410895534755455214199464166	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.301949531116616915288442627145	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.316914592199305620646846332589	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.339567324670131386104598048703	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.505674404631369054476452649149	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.701981809593785275984641015234	EP/SE	NONE	3.000000	
128/0/0/96	1	81.2	90	127.737616	COL	0	3		1953.12	0.703100/0.703100		3000	1.3.6.1.4.1.14519.5.2.1.3671.4754.928051346365389011038021424109	EP/SE	NONE	3.000000	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.102262714390154775173492953015	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.111944565729013971858552641756	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.112715110305155018140773787341	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.114727488339173336591371708019	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.117887203364520469602086552121	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.124517689176005682796013848840	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.146931740605573602758711743306	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.173570404570545621365710002464	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.173881019020587048944426379290	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.175525639768651212943826030037	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.202494613059032009585102781597	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.205399306859210859255791540697	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.206096690426891083128758390177	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.216515214382467651968860197185	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.228909513899643415277584602808	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.234099190370968803440792942327	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.236304709030328087112162192448	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.244248172659267891966281192503	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.254960034737343348671148406833	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.261148815609621567043784188339	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.272005318345463092118133339208	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.275181060076602038198221384517	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.306811591313253539542991920905	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.323078414195256567193456463711	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.323635028032727491962444721407	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.335532418035634233759896726109	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.475509408015860173109437026004	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.804972394905065129132724559964	SE	SK/OSP	3	
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.865235512901470183173110951239	SE	SK/OSP	3	
